epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1446.93,0.77548,1.03697,1.09817,0.77678,0.86581,0.894,0.67062,0.85327,1.0454,1.17425,8.3371e-05,8.3371e-05,8.3371e-05
87,1464.02,0.76223,0.95061,1.04592,0.77572,0.89458,0.90791,0.67445,0.85018,1.04114,1.17703,7.81636e-05,7.81636e-05,7.81636e-05
88,1481.78,0.76206,0.94937,1.07156,0.7898,0.8964,0.90105,0.67175,0.82393,1.03679,1.16353,7.29562e-05,7.29562e-05,7.29562e-05
89,1499.14,0.79254,0.97155,1.07011,0.79485,0.89505,0.89965,0.67401,0.81631,1.03532,1.15796,6.77488e-05,6.77488e-05,6.77488e-05
90,1515.95,0.76796,0.95337,1.0548,0.78789,0.89238,0.88983,0.67153,0.81005,1.02841,1.15006,6.25414e-05,6.25414e-05,6.25414e-05
91,1531.68,0.72389,0.98106,1.0858,0.77613,0.89719,0.88868,0.67722,0.81842,1.02774,1.1503,5.7334e-05,5.7334e-05,5.7334e-05
92,1548.49,0.71096,0.95029,1.07069,0.78532,0.89363,0.88858,0.67148,0.82985,1.02741,1.15693,5.21266e-05,5.21266e-05,5.21266e-05
93,1564.88,0.66684,0.91902,1.06442,0.79309,0.89223,0.90092,0.66682,0.83884,1.03645,1.16124,4.69192e-05,4.69192e-05,4.69192e-05
94,1580.88,0.66694,0.94428,1.04099,0.79457,0.89321,0.89227,0.66192,0.83818,1.04008,1.15956,4.17118e-05,4.17118e-05,4.17118e-05
95,1597.26,0.68166,0.9369,1.04939,0.81132,0.87426,0.88867,0.66548,0.83173,1.04001,1.15822,3.65044e-05,3.65044e-05,3.65044e-05
96,1613.76,0.67486,0.95257,1.04486,0.79225,0.90001,0.88983,0.66744,0.82284,1.03634,1.15572,3.1297e-05,3.1297e-05,3.1297e-05
97,1629.62,0.68975,0.92558,1.0732,0.80216,0.90121,0.89067,0.66803,0.81879,1.03509,1.15553,2.60896e-05,2.60896e-05,2.60896e-05
98,1645.34,0.67559,0.91705,1.04317,0.80436,0.91243,0.89037,0.67004,0.81388,1.03012,1.1552,2.08822e-05,2.08822e-05,2.08822e-05
99,1661.01,0.64451,0.89559,1.01874,0.8038,0.90393,0.89286,0.6658,0.8123,1.02689,1.156,1.56748e-05,1.56748e-05,1.56748e-05
100,1676.79,0.63776,0.88499,1.03555,0.8048,0.88673,0.8935,0.66832,0.81056,1.02656,1.15476,1.04674e-05,1.04674e-05,1.04674e-05
